,op_id,op_type,suc,CPU_B,CPU_S,GPU
95,96,96,"[97, 98, 102, 107]",137.084,196.12699999999998,1034.466
96,97,97,[109],1303.597,3222.526,3533.321
97,98,98,"[99, 100]",1511.1409999999998,3578.5299999999997,2897.982
98,99,99,[101],1437.808,3050.317,2650.854
99,100,100,[101],1604.851,3040.983,2102.85
100,101,101,[109],73.41799999999999,189.62699999999998,383.962
101,102,102,[103],1792.895,4324.827,2962.524
102,103,103,"[104, 105]",3155.826,7017.764999999999,5368.127
103,104,104,[106],1401.724,2895.148,2691.355
104,105,105,[106],1468.808,3050.4,1925.8490000000002
105,106,106,[109],63.959,202.585,358.37800000000004
106,107,107,[108],115.376,718.756,543.587
107,108,108,[109],967.9689999999999,1852.098,1405.512
108,109,109,"[]",160.96,337.794,509.962